Year,Area,Street,Street 2,Strange HTML
2011,,Bordesleyí«Green,Bordesley Green,alcester&nbsp;road
2011,," Bordesleyí«Greení«,í«í«Bordesleyí«Green."," Bordesley Green ,  Bordesley Green.",&quot;That silly man&quot;
2011,,Bristolí«Road,Bristol Road,&lt;html&gt;
2011,,Bristolí«Street,Bristol Street,One &amp; Two
2011,,Broadí«Street,Broad Street,Some &ndash; ndash
2011,,Broadí«Street,Broad Street,&euro;300
2011,,Broadí«Streetí«Birmingham,Broad Street Birmingham,alcester&nbsp;road
2011,,Bucklandí«Endí«Laneí«Shardí«End,Buckland End Lane Shard End,&quot;That silly man&quot;
2011,," Bullsí«Headí«PH,í«Stí«Marysí«Row"," Bulls Head PH, St Marys Row",&lt;html&gt;
2011,," Bushburyí«Road,í«Kittsí«Green"," Bushbury Road, Kitts Green",
2011,,Charticeí«Road,Chartice Road,
2011,,Chestnutí«Road,Chestnut Road,
2011,," churchí«rd,í«stechford"," church rd, stechford",
2011,," Churchí«Road,í«Sheldon"," Church Road, Sheldon",
2011,,Cliffordí«RDí«Dorridge.,Clifford RD Dorridge.,
2011,,Clockí«Lane,Clock Lane,
2011,," Colonialí«road,í«Bordesleyí«Green`"," Colonial road, Bordesley Green`",
2011,," Corporationí«St,Birmingham"," Corporation St,Birmingham",
2011,,corporationí«street,corporation street,
2011,,Coventryí«rdí«Smallí«heath,Coventry rd Small heath,
2011,," COVENTRYí«RD,í«SMALLí«HEATH,í«BHAM"," COVENTRY RD, SMALL HEATH, BHAM",
2011,,Coventryí«Road,Coventry Road,
2011,,Coventryí«Road,Coventry Road,
2011,,Coventryí«Road,Coventry Road,
2011,,Coventryí«Road,Coventry Road,
2011,,Coventryí«Road,Coventry Road,
2011,," Coventryí«road,í«Smallí«heath"," Coventry road, Small heath",
2011,," Coventryí«Road,í«Smallí«Heath"," Coventry Road, Small Heath",
2011,," coventryí«road,smallí«heath"," coventry road,small heath",
2011,,Cranesí«Parkí«Road,Cranes Park Road,
2011,,Cranesí«Parkí«Roadí«Sheldon,Cranes Park Road Sheldon,
2011,,crossfieldí«road,crossfield road,
2011,,Crossfieldsí«Roadí«Kittsí«Green,Crossfields Road Kitts Green,
2011,," cxhurchí«rd,í«stechford,í«bham"," cxhurch rd, stechford, bham",
2011,,digbethí«highí«street,digbeth high street,
2011,,Edgbastoní«road,Edgbaston road,
2011,,Edwardí«Road.í«Moseley,Edward Road. Moseley,
2011,,Fightingí«Coxí«PH,Fighting Cox PH,
2011,," Foremansí«road,í«sparkhill"," Foremans road, sparkhill",
2011,," frontí«office,í«kingsí«heath"," front office, kings heath",
2011,," Garrettsí«Greení«Road,í«Garrettsí«Green"," Garretts Green Road, Garretts Green",
2011,,Gilesí«Close,Giles Close,
2011,," GILESí«CLOSE,í«STECHFORD"," GILES CLOSE, STECHFORD",
2011,,glazedaleí«road,glazedale road,
2011,,Gospelí«Farmí«Road,Gospel Farm Road,
2011,,Gospelí«Farmí«Road,Gospel Farm Road,
2011,,gospelí«lane,gospel lane,
2011,,gospelí«lane,gospel lane,
2011,,Gospelí«Lane,Gospel Lane,
2011,," Gospelí«lane,í«acocksí«green"," Gospel lane, acocks green",
2011,," Graceí«Church,í«Suttoní«Coldfield"," Grace Church, Sutton Coldfield",
2011,,Greatí«Hamptoní«Street,Great Hampton Street,
2011,,Greení«Lane,Green Lane,
2011,,Greswellí«laneí«Shardí«End,Greswell lane Shard End,
2011,," Harlequiní«drive,í«Mosley"," Harlequin drive, Mosley",
2011,,Haslucksí«Greení«Road,Haslucks Green Road,
2011,,Hazeldeaní«Road,Hazeldean Road,
2011,,Heartlandsí«Hospital,Heartlands Hospital,
2011,,Heartlandsí«Hospital,Heartlands Hospital,
2011,,Heartlandsí«Hospitalí«Aí«&í«E.,Heartlands Hospital A & E.,
2011,,Heartlandsí«Hospitalí«Aí«&í«E.,Heartlands Hospital A & E.,
2011,,heartlandsí«hospitalí«Aí«&í«E.,heartlands hospital A & E.,
2011,,Hepbení«Grove,Hepben Grove,
2011,,Herrickí«Road,Herrick Road,
2011,," Herrickí«Road,í«Washwoodí«Heath"," Herrick Road, Washwood Heath",
2011,," Herrickí«Road,í«Washwoodí«Heath"," Herrick Road, Washwood Heath",
2011,,Highí«Stí«Solihull,High St Solihull,
2011,,HIGHí«STREETí«KINGSí«HEATH,HIGH STREET KINGS HEATH,
2011,,Highí«Streetí«Kingsí«Heath,High Street Kings Heath,
2011,," highí«street,í«kingsí«heath"," high street, kings heath",
2011,,Hobí«Moorí«Roadí«atí«Starbankí«Road,Hob Moor Road at Starbank Road,
2011,,Hollowayí«headí«Bhamí«Cityí«centre,Holloway head Bham City centre,
2011,,Hollywellí«Road,Hollywell Road,
2011,,homeí«address,home address,
2011,,Homeí«Address,Home Address,
2011,,Homerí«street,Homer street,
2011,,Huntersí«Mooní«Publicí«house.,Hunters Moon Public house.,
2011,,Hurstí«Street,Hurst Street,
2011,,Hurstí«Street,Hurst Street,
2011,,Hurstí«Street,Hurst Street,
2011,," Hurstí«Street,í«Birmingham"," Hurst Street, Birmingham",
2011,,Kingsí«Heathí«Highí«Street,Kings Heath High Street,
2011,," KNOWLEí«RD,í«SMALLí«HEATH,í«BHAM"," KNOWLE RD, SMALL HEATH, BHAM",
2011,,ladypoolí«Road,ladypool Road,
2011,,ladypoolí«Road,ladypool Road,
2011,,Ladywellí«Walk,Ladywell Walk,
2011,,Leaí«Hallí«RD,Lea Hall RD,
2011,,Leaí«Hallí«rd,Lea Hall rd,
2011,," Leaí«Village,í«Stechford"," Lea Village, Stechford",
2011,," Lenchesí«Close,í«Mosley"," Lenches Close, Mosley",
2011,,Limeí«Treeí«Road,Lime Tree Road,
2011,,Lodeí«Laneí«@í«Hermitageí«Road,Lode Lane @ Hermitage Road,
2011,,Longí«street,Long street,
2011,,Longí«Street.í«Sparkhill,Long Street. Sparkhill,
2011,,Longbridgeí«Lane,Longbridge Lane,
2011,," LONGMEADOWí«CRESCENTí«SHARDí«ENDí«,í«BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM",
2011,,Maccadowní«Lane,Maccadown Lane,
2011,,masshouseí«lane,masshouse lane,
2011,,Meadwaymí«Stechford,Meadwaym Stechford,
2011,," Mickleoverí«Road,í«Bromford"," Mickleover Road, Bromford",
2011,,moorcroftí«road,moorcroft road,
2011,,Moseleyí«Road,Moseley Road,
2011,,moseleyí«road,moseley road,
2011,,moseleyí«road,moseley road,
2011,,moseleyí«road,moseley road,
2011,,Moseleyí«Village,Moseley Village,
2011,,Moseleyí«Village,Moseley Village,
2011,," Moseleyí«Village,í«Alcesterí«road"," Moseley Village, Alcester road",
2011,," Mosleyí«Allí«Servicesí«Club,í«Churchí«Road,í«Moseley."," Mosley All Services Club, Church Road, Moseley.",
2011,,Nearlandsí«Closeí«Quinton,Nearlands Close Quinton,
2011,,newí«street,new street,
2011,,Northfieldí«Highí«Street,Northfield High Street,
2011,," O/Sí«BEHANS,í«HIGHFIELDí«ROAD,í«BILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",
2011,," O/Sí«Theí«junction,í«Mosleyí«Village"," O/S The junction, Mosley Village",
2011,,O/Sí«Washwoodí«Heathí«road,O/S Washwood Heath road,
2011,," Oakhillí«Road,í«Acocksí«Green"," Oakhill Road, Acocks Green",
2011,,Oppí«whiteí«hartí«laneí«cooksí«lane,Opp white hart lane cooks lane,
2011,," Opposite,í«ALDI,í«Stratfordí«Road"," Opposite, ALDI, Stratford Road",
2011,,Outsideí«Javaí«loungeí«Alcesterí«Road,Outside Java lounge Alcester Road,
2011,,Outsideí«O2í«Academyí«Nightí«Clubí«B'hamí«Cityí«Centre,Outside O2 Academy Night Club B'ham City Centre,
2011,,outsideí«ravení«publicí«house,outside raven public house,
2011,," Packingtoní«Avenue,í«Shardí«End"," Packington Avenue, Shard End",
2011,,parkí«offí«hobí«moorí«road,park off hob moor road,
2011,,Parkhallí«Croft,Parkhall Croft,
2011,,Pearí«Treeí«PH,Pear Tree PH,
2011,,Policeí«station,Police station,
2011,,Policeí«Stationí«Stechford,Police Station Stechford,
2011,,poplarí«road,poplar road,
2011,,Poplarí«road,Poplar road,
2011,," poplarí«roadí«,í«solihull"," poplar road , solihull",
2011,," poplarí«road,í«solihull"," poplar road, solihull",
2011,,Prestoní«Road,Preston Road,
2011,," Prioryí«Road,í«Hallí«Green"," Priory Road, Hall Green",
2011,,prospectí«road,prospect road,
2011,,queenswoodí«road,queenswood road,
2011,," rearí«ofí«boots,í«highí«street"," rear of boots, high street",
2011,," REDDINGSí«LANE,í«TSYLEY"," REDDINGS LANE, TSYLEY",
2011,," Richmondí«Primaryí«Careí«Centre,í«Richmondí«Road,í«Stechford"," Richmond Primary Care Centre, Richmond Road, Stechford",
2011,," ringí«road,í«stourbridge"," ring road, stourbridge",
2011,," sainsburys,í«wawrickí«road"," sainsburys, wawrick road",
2011,,sainsburys.í«alcesterí«roadí«south,sainsburys. alcester road south,
2011,,Sandfordí«Roadí«Moseley,Sandford Road Moseley,
2011,,Sareholeí«Mill,Sarehole Mill,
2011,,Sedgemereí«Road,Sedgemere Road,
2011,,Shirleyí«Road,Shirley Road,
2011,,SHirleyí«Road,SHirley Road,
2011,,Snowí«Hill,Snow Hill,
2011,,Solihullí«Lane,Solihull Lane,
2011,," Stí«Mary'sí«Road,í«Moseley"," St Mary's Road, Moseley",
2011,,Stí«Marysí«Row,St Marys Row,
2011,,stationí«road,station road,
2011,," Stationí«Way,í«Birminghamí«Internationalí«railí«Station"," Station Way, Birmingham International rail Station",
2011,,Stechfordí«frontí«office,Stechford front office,
2011,,Stechfordí«P.S.,Stechford P.S.,
2011,,Stechfordí«Retailí«Park.,Stechford Retail Park.,
2011,,Stonehengeí«croftí«Druidsí«heath,Stonehenge croft Druids heath,
2011,,Stoneyí«Lane,Stoney Lane,
2011,,Stoneyí«Lane,Stoney Lane,
2011,,stoneyí«lane,stoney lane,
2011,," STRATFORDí«HEATH,í«SPARKí«HILL,í«BIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM",
2011,,stratfordí«road,stratford road,
2011,,Stratfordí«road,Stratford road,
2011,,Stratfordí«Road,Stratford Road,
2011,," stratfordí«road,í«hallí«green"," stratford road, hall green",
2011,,stratfordí«roads,stratford roads,
2011,," Stuartí«Road,í«Stechford"," Stuart Road, Stechford",
2011,,talbortí«street,talbort street,
2011,,Tauntoní«Road,Taunton Road,
2011,,Tavistockí«road,Tavistock road,
2011,,Theí«avenue,The avenue,
2011,,Theí«paerí«treeí«pub,The paer tree pub,
2011,,Trafalgerí«Road,Trafalger Road,
2011,,Wakeí«greení«Road,Wake green Road,
2011,,Wardí«Endí«Road,Ward End Road,
2011,,Warwickí«Road,Warwick Road,
2011,,Warwickí«Road,Warwick Road,
2011,,Warwickí«Road,Warwick Road,
2011,,Warwickí«Road,Warwick Road,
2011,,Warwickí«Road,Warwick Road,
2011,,Warwickí«Roadí«Tysley,Warwick Road Tysley,
2011,,Washí«lane,Wash lane,
2011,,Washfordí«Heathí«Road,Washford Heath Road,
2011,,Washwoodí«Heathí«pub,Washwood Heath pub,
2011,," WASHWOODí«HEATHí«RD,í«WASHWOODí«HEATH,í«BHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",
2011,,Washwoodí«Heathí«road,Washwood Heath road,
2011,,Washwoodí«Heathí«Road,Washwood Heath Road,
2011,,Washwoodí«Heathí«Road,Washwood Heath Road,
2011,,Washwoodí«Heathí«Road,Washwood Heath Road,
2011,," Wateryí«Laneí«Middleway,í«Birmingham"," Watery Lane Middleway, Birmingham",
2011,,wawrickí«road,wawrick road,
2011,," Welshfarmí«Road,í«Quinton"," Welshfarm Road, Quinton",
2011,,Westleyí«Road,Westley Road,
2011,," Westleyí«Road,í«Acocksí«Green"," Westley Road, Acocks Green",
2011,,Whiteí«Hartí«Publicí«House,White Hart Public House,
2011,,Whiteí«Hartí«Publicí«House,White Hart Public House,
2011,," Whiteheartí«pub,í«Gressellí«Lane"," Whiteheart pub, Gressell Lane",
2011,," Williamí«Hillí«Bookmakers,í«Washwoodí«Heathí«Road"," William Hill Bookmakers, Washwood Heath Road",
2011,," Williamí«Hillí«Bookmakers,í«Washwoodí«Heathí«Road"," William Hill Bookmakers, Washwood Heath Road",
2011,,Williamí«Hillí«Washwoodí«Heathí«Road,William Hill Washwood Heath Road,
2011,,Windwardí«Road,Windward Road,
2011,,Windwardí«Road,Windward Road,
2011,," Woodí«Endí«Road,í«Erdington"," Wood End Road, Erdington",
2011,," Woodbridgeí«road,í«moseley"," Woodbridge road, moseley",
2011,,Wrightí«Street,Wright Street,
2011,,yardleyí«greení«road,yardley green road,
2011,,yardleyí«roadí«acocksí«green,yardley road acocks green,
2011,,Yardleyí«Woodí«Road,Yardley Wood Road,
2011,,Yardleyí«Woodí«Road,Yardley Wood Road,
2011,,Yewí«Treeí«carí«park,Yew Tree car park,
2011,,Yewí«Treeí«Lane,Yew Tree Lane,
2011,,Yewí«Treeí«publicí«houseí«carí«park.,Yew Tree public house car park.,
2011,," Armadaí«Pub,í«Sladeí«Road,í«Erdington,í«Birmingham"," Armada Pub, Slade Road, Erdington, Birmingham",
2011,," Armardaí«Pub,í«í«Gravellyí«Hill"," Armarda Pub,  Gravelly Hill",
2011,," Armardaí«Pub,í«Gravellyí«Hill"," Armarda Pub, Gravelly Hill",
2011,,BADGERSí«BANKí«ROAD,BADGERS BANK ROAD,
2011,," Baldmoorí«Lakeí«Road,í«Erdington,í«Birmingham."," Baldmoor Lake Road, Erdington, Birmingham.",
2011,," bandywoodí«Rd,í«kingstanding"," bandywood Rd, kingstanding",
2011,,Beckenhamí«Road,Beckenham Road,
2011,,Beechesí«Walk,Beeches Walk,
2011,,BIRMINGHAMí«RD,BIRMINGHAM RD,
2011,,BIRMINGHAMí«RD,BIRMINGHAM RD,
2011,," Birminghamí«Rd,í«SC"," Birmingham Rd, SC",
2011,,Birminghamí«Road,Birmingham Road,
2011,,Birminghamí«Road,Birmingham Road,
2011,,birminghamí«roadí«sutton,birmingham road sutton,
2011,," Birminghamí«Road,í«Erdington"," Birmingham Road, Erdington",
2011,," Birminghamí«Road,í«Suttoní«Coldfield"," Birmingham Road, Sutton Coldfield",
2011,," Birminghamí«Road,í«Suttoní«Coldfield"," Birmingham Road, Sutton Coldfield",
2011,,BOWLINGí«GREENí«CLOSE,BOWLING GREEN CLOSE,
2011,," Bracebridgeí«Road,í«Erdington"," Bracebridge Road, Erdington",
2011,,brassingtoní«avenue,brassington avenue,
2011,,Bromfordí«Lane,Bromford Lane,
2011,," Bromfordí«Lane,í«Erdington,í«B'ham"," Bromford Lane, Erdington, B'ham",
2011,,Brookvaleí«parkí«Road,Brookvale park Road,
2011,," Carhamptoní«Road,í«Falconí«Lodge,í«Suttoní«Colfield"," Carhampton Road, Falcon Lodge, Sutton Colfield",
2011,,Carshaltoní«Road,Carshalton Road,
2011,,carshorltoní«Road,carshorlton Road,
2011,,chesterí«rd,chester rd,
2011,,CHESTERí«ROAD,CHESTER ROAD,
2011,," Chesterí«Road,í«Hallsí«gardení«Centre"," Chester Road, Halls garden Centre",
2011,,CHURCHí«RDí«ATí«CHESTERí«RD,CHURCH RD AT CHESTER RD,
2011,," Collegeí«Road,í«Kingstanding,í«B'ham"," College Road, Kingstanding, B'ham",
2011,," Collegeí«Road,í«Kingstanding,í«B'ham"," College Road, Kingstanding, B'ham",
2011,," Copshillí«Court,í«Mountí«View,í«Suttoní«Coldfield"," Copshill Court, Mount View, Sutton Coldfield",
2011,," Dovedaleí«Road,í«Erdington,í«B'ham"," Dovedale Road, Erdington, B'ham",
2011,," Downsideí«Road,í«Erdington,í«B'ham"," Downside Road, Erdington, B'ham",
2011,," Eachelhurtí«Road,í«Erdington"," Eachelhurt Road, Erdington",
2011,,ERDINGTONí«HALLí«ROAD,ERDINGTON HALL ROAD,
2011,,ERDINGTONí«HALLí«ROAD,ERDINGTON HALL ROAD,
2011,,Erdingtoní«Highí«Street,Erdington High Street,
2011,," Fenthamí«Road,í«Erdington,í«B'ham"," Fentham Road, Erdington, B'ham",
2011,,FINCHLEYí«ROAD,FINCHLEY ROAD,
2011,," Finchleyí«Road,í«Kingstanding,í«B'ham"," Finchley Road, Kingstanding, B'ham",
2011,,GEORGEí«FREDERICKí«ROAD,GEORGE FREDERICK ROAD,
2011,,Goldení«Pondí«takeí«awayí«ŒŠí_Œí«Boldmereí«Road,Golden Pond take away ŒŠí_Œ Boldmere Road,
2011,,goodí«hopeí«hospital,good hope hospital,
2011,,Gracechurchí«Centre,Gracechurch Centre,
2011,," Gracechurchí«centre,í«outsideí«Supercigs"," Gracechurch centre, outside Supercigs",
2011,," GraceChurchí«Shoppingí«Centre,í«Suttoní«Coldfield"," GraceChurch Shopping Centre, Sutton Coldfield",
2011,," grassedí«areaí«,í«pypeí«hayesí«park...."," grassed area , pype hayes park....",
2011,,Gravelleyí«lane,Gravelley lane,
2011,,Gravelleyí«lane,Gravelley lane,
2011,,Gravelleyí«lane,Gravelley lane,
2011,," Gravellyí«Lane,í«Erdington,í«Birmingham"," Gravelly Lane, Erdington, Birmingham",
2011,,hairyí«lemoní«pubí«.suttoní«coldfield,hairy lemon pub .sutton coldfield,
2011,,hairyí«lemoní«pubí«.suttoní«coldfield,hairy lemon pub .sutton coldfield,
2011,,Hermatigeí«Road,Hermatige Road,
2011,,Hermatigeí«Road,Hermatige Road,
2011,,HERMITAGEí«DRIVE,HERMITAGE DRIVE,
2011,,Highí«Street,High Street,
2011,,highí«streetí«erdington,high street erdington,
2011,," highí«street,í«erdington"," high street, erdington",
2011,," Highí«Street,í«Erdington"," High Street, Erdington",
2011,," Highí«Street,í«S/C"," High Street, S/C",
2011,," Highí«Street,í«S/C"," High Street, S/C",
2011,,Hightí«Stí«ErdINGTON,Hight St ErdINGTON,
2011,,HUNTONí«HILL,HUNTON HILL,
2011,," KFCí«retailí«outletí«,í«Erdingtoní«Highí«street"," KFC retail outlet , Erdington High street",
2011,," Kingsburyí«Road,í«Erdington,í«B'ham"," Kingsbury Road, Erdington, B'ham",
2011,,Kingstandingí«Circle,Kingstanding Circle,
2011,," Ladywellí«Walk,í«Birmingham"," Ladywell Walk, Birmingham",
2011,,Landsdowní«Road,Landsdown Road,
2011,," LICHFIELDí«ROAD,í«MEREí«GREEN"," LICHFIELD ROAD, MERE GREEN",
2011,," LICHFIELDí«ROAD,í«SUTTONí«COLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD",
2011,," Lindridgeí«Road,í«Suttoní«Coldfield"," Lindridge Road, Sutton Coldfield",
2011,,littleí«astoní«lane,little aston lane,
2011,,LONGFORDí«ROAD,LONGFORD ROAD,
2011,," Longfordí«Road,í«Kingstanding,í«B'ham"," Longford Road, Kingstanding, B'ham",
2011,,lowerí«parade,lower parade,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,lowerí«parade,lower parade,
2011,,lowerí«parade,lower parade,
2011,,lowerí«parade,lower parade,
2011,,lowerí«parade,lower parade,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,Lowerí«Parade,Lower Parade,
2011,,Lowerí«Parade,Lower Parade,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,Lowerí«Parade,Lower Parade,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,Lowerí«Parade,Lower Parade,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,Lowerí«Parade,Lower Parade,
2011,,Lowerí«Parade,Lower Parade,
2011,,Lowerí«Parade,Lower Parade,
2011,,LOWERí«PARADE,LOWER PARADE,
2011,,lowerí«paradeí«SC,lower parade SC,
2011,,LOWERí«PARADEí«SUTTON,LOWER PARADE SUTTON,
2011,,Lowerí«Paradeí«Suttoní«Coldfield,Lower Parade Sutton Coldfield,
2011,," lowerí«parade,"," lower parade,",
2011,," Lowerí«parade,í«Sutoní«Coldfield"," Lower parade, Suton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," lowerí«parade,í«suttoní«coldfield"," lower parade, sutton coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lowerí«Parade,í«Suttoní«Coldfieldí«towní«centre"," Lower Parade, Sutton Coldfield town centre",
2011,," Lowerí«Parade,í«Suttoní«Coldfieldí«towní«Centre"," Lower Parade, Sutton Coldfield town Centre",
2011,," Lowerí«Parade,í«Suttoní«Coldfield."," Lower Parade, Sutton Coldfield.",
2011,,lydhamí«close,lydham close,
2011,,Millí«Street,Mill Street,
2011,," Millí«Street,í«Suttoní«Coldfield"," Mill Street, Sutton Coldfield",
2011,,moorí«hallí«hotel,moor hall hotel,
2011,," Mulberryí«Courtí«Carpark,í«Kingsí«Road,í«Kingstanding,í«Birmingham"," Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham",
2011,,newhallí«walkí«carí«park,newhall walk car park,
2011,,newhallí«walkí«carí«park,newhall walk car park,
2011,,O/Sí«H/A,O/S H/A,
2011,,O/sí«Littení«Tree,O/s Litten Tree,
2011,," O/Sí«Littení«Tree,í«S/Cí«Towní«Centre"," O/S Litten Tree, S/C Town Centre",
2011,," O/Sí«MooMooí«Bar,í«S/cí«Towní«Centre"," O/S MooMoo Bar, S/c Town Centre",
2011,," o/sí«moomooí«bar,í«Southí«parade"," o/s moomoo bar, South parade",
2011,,o/sí«retro,o/s retro,
2011,," O/Sí«Retroí«,í«Southí«parade"," O/S Retro , South parade",
2011,,O/Sí«Retros,O/S Retros,
2011,," O/Sí«Royalí«Hotel,í«Lichfieldí«Road"," O/S Royal Hotel, Lichfield Road",
2011,,o/sí«templeí«bar,o/s temple bar,
2011,,O/Sí«Templeí«Bar,O/S Temple Bar,
2011,," O/Sí«Templeí«Bar,í«Highí«Street"," O/S Temple Bar, High Street",
2011,," O/sí«Templeí«Bar,í«Lowerí«Paradeí«Suttoní«Coldfield."," O/s Temple Bar, Lower Parade Sutton Coldfield.",
2011,," O/Sí«Templeí«Bar,í«S/Cí«Towní«Centre"," O/S Temple Bar, S/C Town Centre",
2011,," o/sí«templeí«bar,í«suttoní«coldfield,í«westí«milands"," o/s temple bar, sutton coldfield, west milands",
2011,,o/sí«theí«hairyí«lemon,o/s the hairy lemon,
2011,,Oní«pavementí«outsideí«Theí«Royalí«Hotel,On pavement outside The Royal Hotel,
2011,," Ourtsideí«Royalí«Pub,í«Lichfieldí«Road,í«Suttoní«Coldfield"," Ourtside Royal Pub, Lichfield Road, Sutton Coldfield",
2011,," outsideí«Glendaleí«Tower,í«Lyndhurstí«Estate"," outside Glendale Tower, Lyndhurst Estate",
2011,," Outsideí«Littení«Treeí«pub,í«Birminghamí«Road,í«Suttoní«Coldfield`"," Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`",
2011,," Outsideí«Mooí«Mooí«Club,í«Towní«Centre,í«Suttoní«Coldfield"," Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,," Outsideí«Mooí«Mooí«nightí«club,í«Southí«Parade"," Outside Moo Moo night club, South Parade",
2011,," Outsideí«Templeí«Parade,í«Lowerí«Parade"," Outside Temple Parade, Lower Parade",
2011,," Outsideí«theí«Templeí«Bar,í«Lowerí«Parade,í«SC"," Outside the Temple Bar, Lower Parade, SC",
2011,,PARADEí«.í«SUTTONí«COLDFIELD,PARADE . SUTTON COLDFIELD,
2011,,paradeí«SC,parade SC,
2011,,paradeí«suttoní«coldfield,parade sutton coldfield,
2011,,paradeí«suttoní«coldfield,parade sutton coldfield,
2011,,PARADEí«SUTTONí«COLDFIELD,PARADE SUTTON COLDFIELD,
2011,,paradeí«suttoní«town,parade sutton town,
2011,," Parade,í«Suttoní«Coldfield"," Parade, Sutton Coldfield",
2011,," Parade,í«Suttoní«Coldfield"," Parade, Sutton Coldfield",
2011,," Parade,í«Suttoní«Towní«Centre"," Parade, Sutton Town Centre",
2011,," Parkestoní«Crescent,í«Kinsgatnding,í«B'ham"," Parkeston Crescent, Kinsgatnding, B'ham",
2011,,PLANTSí«GROVEí«ERDINGTON,PLANTS GROVE ERDINGTON,
2011,," Pypeí«Hayesí«Road,í«Pypeí«Hayes,í«B'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," Pypeí«Hayesí«Road,í«Pypeí«Hayes,í«B'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," Pypeí«Hayesí«Road,í«Pypeí«Hayes,í«B'ham"," Pype Hayes Road, Pype Hayes, B'ham",
